SuperCategory,AUC_Base_Mean,AUC_Base_Std,AUC_OnlyRat_Mean,AUC_OnlyRat_Std
alt,0.6089338235294118,0.03557896695062069,0.5509191176470588,0.06845722498209474
comp,0.5628816252411758,0.14197613393928055,0.46775053909885367,0.034324953176234956
misc,0.5584371184371184,0.0930101508992545,0.5227350427350428,0.0263720887717116
rec,0.4696236866148927,0.06113170331766692,0.5205944495203289,0.04204399697208749
sci,0.4697313163898455,0.04967964270676816,0.502343897583446,0.031213678224360216
soc,0.6959090909090909,0.15432417313312627,0.500909090909091,0.09103275679620693
talk,0.5039341184502475,0.046837767042095205,0.553210872162485,0.051989178384886627
