SuperCategory,AUC_Base_Mean,AUC_Base_Std,AUC_OnlyRat_Mean,AUC_OnlyRat_Std
alt,0.6990808823529411,0.021292446920158112,0.5425367647058824,0.07724995240813305
comp,0.6530208451556766,0.03049787806543235,0.5202568758748534,0.05578609519361242
misc,0.6724786324786324,0.04611323160829797,0.5808547008547008,0.10693323193061335
rec,0.5376670283234354,0.023927328608728905,0.539076062128826,0.025506142420346562
sci,0.5501053518752634,0.016873239528112156,0.5014633012191755,0.04381956625353324
soc,0.8172272727272727,0.03280905186526306,0.5430909090909092,0.07235377816587076
talk,0.6223139614268647,0.03248257834039641,0.4978601297149684,0.02630829671826414
