SuperCategory,AUC_Base_Mean,AUC_Base_Std,AUC_Removed_Mean,AUC_Removed_Std,Drop_Mean
alt,0.7055147058823529,0.055036776985341866,0.5645588235294118,0.09346636737128909,0.1409558823529411
comp,0.6995308894185299,0.07260675371761996,0.5985188968335036,0.07218622980719556,0.10101199258502636
misc,0.6775091575091575,0.05352067175171988,0.6173870573870575,0.062075183316131384,0.060122100122100064
rec,0.5403080744632252,0.04824706813128182,0.5555718935587025,0.024412751706468044,-0.01526381909547736
sci,0.550262289841173,0.037606466255646495,0.5243123065521601,0.027921474378737078,0.02594998328901288
soc,0.7817272727272727,0.0531111807500187,0.7268636363636365,0.08621942505142535,0.054863636363636226
talk,0.5514208909370198,0.036455672098883174,0.5332863969960744,0.03715305973626668,0.018134493940945462
