SuperCategory,AUC_Base_Mean,AUC_Base_Std,AUC_Removed_Mean,AUC_Removed_Std,Drop_Mean
alt,0.6140441176470588,0.08737854583644289,0.6477941176470587,0.0326480110486462,-0.03374999999999995
comp,0.48996141187152426,0.09542528846918649,0.5084610146407899,0.07648751153351327,-0.0184996027692656
misc,0.4941636141636141,0.09080527550488175,0.5002197802197803,0.09944025847871539,-0.006056166056166212
rec,0.4655493375970764,0.07872113300436007,0.46527238465052534,0.07239591798316854,0.00027695294655105673
sci,0.5056454073848032,0.021653093511464973,0.4907973320545794,0.00713578173517434,0.014848075330223809
soc,0.48940909090909096,0.11202204254756705,0.5178636363636364,0.13055654865495725,-0.028454545454545455
talk,0.4959698754053593,0.051845150441332664,0.48780295272230756,0.04907560871630566,0.008166922683051747
