SuperCategory,AUC_Base_Mean,AUC_Base_Std,AUC_Removed_Mean,AUC_Removed_Std,Drop_Mean
alt,0.529375,0.08220561927770174,0.5265073529411765,0.07796860643852371,0.002867647058823586
comp,0.46620417659743507,0.09968096178490661,0.4599894071804185,0.08444769467865104,0.006214769417016597
misc,0.49050061050061045,0.14242260702532905,0.5081318681318681,0.11648442775130351,-0.017631257631257613
rec,0.49214253083599824,0.07399328607529931,0.4791071836455002,0.06411138142887672,0.013035347190498037
sci,0.5064359097316071,0.021423166865415896,0.5054695787378118,0.025643517723407887,0.0009663309937952835
soc,0.492,0.15295480886104565,0.4622727272727272,0.0878637656961847,0.02972727272727277
talk,0.582810633213859,0.07285369013215576,0.5846710189452125,0.06481238936952921,-0.0018603857313534977
